ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
A,2/15/01,49.7,55,49.59,53.85,2828900,0,1,32.08469765,35.50620464,32.01368524,34.76380218,2828900
A,2/16/01,50,50.5,48.65,50,3580200,0,1,32.27866201,32.60144863,31.40713814,32.27866201,3580200
A,2/20/01,49.2,49.45,43,44,4540600,0,1,31.75590577,31.91726708,27.75414529,28.39959052,4540600
A,2/21/01,42,42.25,39.2,40.2,6697900,0,1,27.11157529,27.27295372,25.30413694,25.94965064,6697900
A,2/22/01,39.95,40.6,38.5,39.07,4806900,0,1,25.78547514,26.20501353,24.8495818,25.21748469,4806900
A,2/23/01,39.08,39.37,35.55,38.3,3868800,0,1,25.22821205,25.41542243,22.94940989,24.72468069,3868800
A,2/26/01,37.69,38.75,37.3,38.3,2662500,0,1,24.33089335,25.01517955,24.07912767,24.72468069,2662500
A,2/27/01,37.75,39.66,36.89,38.15,2608300,0,1,24.3679168,25.60083657,23.81278015,24.62611989,2608300
A,2/28/01,38.4,38.8,35.8,36,2525900,0,1,24.78851055,25.0467242,23.11012181,23.23922864,2525900
A,3/1/01,35.9,39,34.4,38.31,3641500,0,1,23.1759012,25.17716286,22.20754878,24.73172075,3641500
A,3/2/01,36.45,40.24,36.44,38.03,2455000,0,1,23.52877621,25.97525253,23.52232113,24.54867927,2455000
A,3/5/01,38.04,39.23,37.1,38.05,1454100,0,1,24.55630399,25.32449541,23.94949732,24.56275938,1454100
A,3/6/01,39.1,41.32,39.1,40.6,2673600,0,1,25.24177809,26.67494299,25.24177809,26.21013275,2673600
A,3/7/01,42.3,42.38,40.6,40.96,1957600,0,1,27.30751541,27.35916083,26.21005025,26.44245464,1957600
A,3/8/01,40.97,41.22,39.6,40,2030200,0,1,26.44913565,26.61052896,25.56470031,25.82292961,2030200
A,3/9/01,39.1,39.47,36.65,37.05,2017700,0,1,25.23831034,25.47713834,23.65688169,23.91507412,2017700
A,3/12/01,36,36.6,35,35.01,2435000,0,1,23.23761793,23.62491156,22.59212854,22.59858344,2435000
A,3/13/01,35.6,36.88,35.15,36.58,1895400,0,1,22.97976269,23.80600135,22.68928816,23.61235167,1895400
A,3/14/01,35.2,36.69,34.94,35.3,2636100,0,1,22.72410785,23.68600901,22.55625933,22.78866498,2636100
A,3/15/01,35.5,36.57,34.53,34.85,2061700,0,1,22.91250736,23.6031097,22.2864473,22.49298258,2061700
A,3/16/01,34.4,35.75,33.96,34.75,2965600,0,1,22.2037122,23.07507882,21.91971123,22.42962207,2965600
A,3/19/01,34.6,37.55,33.61,36.99,1720700,0,1,22.33694606,24.24139666,21.69782535,23.87987384,1720700
A,3/20/01,36.25,36.25,34.3,34.3,3020900,0,1,23.39972347,23.39972347,22.14097972,22.14097972,3020900
A,3/21/01,33.02,33.74,29.6,31.6,6207200,0,1,21.31153177,21.77622901,19.10421988,20.39504555,6207200
A,3/22/01,31.9,34.98,31.84,34.8,3294000,0,1,20.59275382,22.58101971,20.55402137,22.46482235,3294000
A,3/23/01,34.8,39.5,34.79,37.83,3630000,0,1,22.46587752,25.50006213,22.45942181,24.42195824,3630000
A,3/26/01,37.12,37.64,36.14,37.07,2086500,0,1,23.96142987,24.29709645,23.32882746,23.92915424,2086500
A,3/27/01,37,37.03,35.74,36.93,1927600,0,1,23.8828172,23.90218165,23.06951045,23.83763349,1927600
A,3/28/01,35.1,35.22,32.5,32.7,3046400,0,1,22.65516224,22.73261579,20.97700208,21.10609132,3046400
A,3/29/01,32,33.18,30,30,6253600,0,1,20.65834369,21.42012011,19.36719721,19.36719721,6253600
A,3/30/01,30.6,31.83,30.2,30.73,3849100,0,1,19.75495476,20.54902647,19.49672005,19.83888104,3849100
A,4/2/01,32.25,32.57,30.3,30.85,2512500,0,1,20.82014177,21.02672923,19.56124948,19.91632166,2512500
A,4/3/01,30.1,30.5,28,29.5,3635800,0,1,19.43067704,19.68889202,18.07504841,19.04335458,3635800
